seq,company_name,type,primary_email,alt_emails,phone,website,email_raw,flags,status
19,Berjaya Hotels & Resorts,Travel / Hospitality,klso.rsvn@berjayahotel.com,,"+60321410088, +6018 788 8703",https://www.berjayahotel.com/penang,klso.rsvn@berjayahotel.com,,ready
20,Big Pharmacy,Sports Medicine / Health,enquiry@bigpharmacy.com.my,,,https://www.bigpharmacy.com.my/corporate/contact-us,enquiry@bigpharmacy.com.my,,ready
21,Biore UV,Sun Care / Skincare,kaocare@kao.com.my,,03-79574488,https://www.kao.com/my/,kaocare@kao.com.my,DUPLICATE_EMAIL,ready
22,Boost Juice Malaysia,F&B,boostinternational@boostjuice.com,,61 (3) 9508 4409,https://www.boostjuicebars.com.my/,BoostInternational@boostjuice.com,,ready
23,CACTUS MARKETING SDN BHD,F&B,order@cactusmarketing.com.my,,03-5614 4466,https://cactusmarketing.com.my/contact/,order@cactusmarketing.com.my,,ready
24,Claire Organics,Sun Care / Skincare,helloclaire@claire.my,,018-911172,https://www.claire.my/,helloclaire@claire.my,,ready
25,Clinelle UV Defense,Sun Care / Skincare,info@clinelle.com,,03-7809 6623,https://clinelle.com/products/uv-defense-spf50,info@clinelle.com,,ready
26,Coca-Cola Far East Limited,F&B,ombennis@coca-cola.com,,06-7985100 / 1-800-88-2653,https://www.coca-cola.com/us/en/about-us/contact-us,ombennis@coca-cola.com,,ready
27,Coffee Bean & Tea Leaf,F&B,comments@coffeebean.com.my,,"60392001822, 60392001833",https://coffeebean-my.zendesk.com/hc/en-us/requests/new,comments@coffeebean.com.my,,ready
28,COOLBLOG,F&B,info@coolblog.com.my,,1700-81-9066,https://www.coolblog.com.my/contact-us,info@coolblog.com.my,,ready
29,Counterpain,Sports Medicine / Health,kaocare@kao.com.my,,03-7958 1077,https://www.counterpain.com.my/,kaocare@kao.com.my,DUPLICATE_EMAIL,ready
30,COWAY (MALAYSIA) SDN.BHD,Corporate / Finance,cowayofficialmalaysia@gmail.com,,392008833,https://www.coway.com.my/,cowayofficialmalaysia@gmail.com,FREEMAIL,ready
31,D8 Malaysia Foundation,Government / Foundations / NGOs,d8cefc@alhidayahgroup.com,,"60341481503, 60341424780",Strategic Partners - D8-CEFC,d8cefc@alhidayahgroup.com,,ready
32,Decathlon Malaysia,Sports & Fitness,decathlon.malaysia@decathlon.com,,60173698663 / 03-79322259,https://www.decathlon.my,decathlon.malaysia@decathlon.com,,ready
33,Dermalogica Malaysia,Sun Care / Skincare,hotline@dermalogica.com.my,,60378096622,https://dermalogica.com.my/pages/contact-us,hotline@dermalogica.com.my,,ready
34,Dutch Lady Malaysia,F&B,dutchladycareline@frieslandcampina.com,,1800-81-3855,https://www.smartmoments.com.my/en/,dutchladycareline@frieslandcampina.com,,ready
35,ECO world,Property / Developer,corp@ecoworld.my,,03-21104255,https://ecoworld.my/,corp@ecoworld.my,,ready
36,Elgini,F&B,customercare@elgini.com,,"04-5936785, 017-843 3960",Contact Us – Elgini Sdn. Bhd.,customercare@elgini.com,,ready
37,Enviromental Idaman,Government / Foundations / NGOs,info@e-idaman.com,,"04-7711320, 1-800-88-7472",https://e-idaman.com/,info@e-idaman.com,,ready
38,Epro Kinesiology Tape,Sports Medicine / Health,enquiry.coreblue@gmail.com,,60380516036,www.eprotape.com.my,enquiry.coreblue@gmail.com,FREEMAIL,ready
39,Eva Air,Travel / Hospitality,prd@evaair.com,csr@evaair.com,03-2181 1122,https://www.evaair.com/en-global/index.html,prd@evaair.com / csr@evaair.com,MULTIPLE_EMAILS,ready
40,Farm Fresh Berhad,F&B,custsvc@farmfreshmilk.com.my,,1-800-88-1228,https://shop.farmfresh.com.my/,custsvc@farmfreshmilk.com.my,,ready
41,First Pavilion Sdn Bhd,Property / Developer,info@fpgberhad.com,,60348166106,https://fpgberhad.com/get-in-touch/,info@fpgberhad.com,,ready
42,Focus Point Caring Hearts Charity Fo,uCndoarptioornate / Finance,online@focus-point.com,,60378805520,https://www.focus-point.com.my/caring-hearts-foundation,online@focus-point.com,,ready
43,Fraser & Neave Holdings Bhd,F&B,groupcomms@fn.com.my,,603-9235 2288,https://www.fn.com.my/,groupcomms@fn.com.my,,ready
44,Gading Kencana,Corporate / Finance,hasnah@gadingkencana.com.my,,03 – 5513 9888,https://www.gadingkencana.com.my/,hasnah@gadingkencana.com.my,,ready
45,Gardenia,F&B,customer_service@gardenia.com.my,,03-55423228,https://www.gardenia.com.my/,customer_service@gardenia.com.my,,ready
46,Garmin Malaysia,Sports & Fitness,marketing.asia@garmin.com,,1-800-81-6357,https://www.garmin.com.my/support/,marketing.asia@garmin.com,,ready
47,Gatorade Malaysia,F&B,customercareline@etikaholdings.com,,1300-30-1300,Contact Us \1,customercareline@etikaholdings.com,DUPLICATE_EMAIL,ready
48,Getha,Retail / Lifestyle,ask@getha.com.my,,1800-88-43842,https://getha.com.my/,ask@getha.com.my,,ready
49,GIGI COFFEE SDN.BHD,F&B,customercare@gigicoffee.com,,603 5567 0099,https://www.gigicoffee.com/contact-us/,customercare@gigicoffee.com,,ready
50,Golden Pharos Berhad,Property / Developer,info@gpb.com.my,,09 630 1330,https://goldenpharos.com.my/,info@gpb.com.my,,ready
51,Guardian Malaysia,Sports Medicine / Health,guardian.my@dfiretailgroup.com,,03-27777100,https://guardian.com.my/contact-us,guardian.my@dfiretailgroup.com,,ready
52,High 5 Sports Nutrition,Sports Medicine / Health,enquiry@hobbies-sports.my,,016 2133 403,https://www.hobbies-sports.my/collections/high5-sports-nutrition,enquiry@hobbies-sports.my,,ready
53,Hilton Hotels Malaysia,Travel / Hospitality,customerservice.kl@hilton.com,,60 3-2264 2264,https://www.hilton.com/en/hotels/kulhihi-hilton-kuala-lumpur/,customerservice.kl@hilton.com,,ready
54,Hockey Store Malaysia (OBO & DITA,diSsptroibrtust oErq)uipment / Apparel,obofieldhockey@gmail.com,,03-40444131,https://www.hockeystore.my/,obofieldhockey@gmail.com,FREEMAIL,ready
55,Homevest Foundation,Government / Foundations / NGOs,hello@homevestglobal.com,,03-6151 8180,https://www.homevestglobal.com,hello@homevestglobal.com,,ready
56,Hong Leong Foundation,Corporate / Finance,hongleongfoundation@gmail.com,,03-20201617 / 03-20201619,https://www.hongleongcsr.org/index.php/contact-us,hongleongfoundation@gmail.com,FREEMAIL,ready
57,Hup Seng Industries Berhad,F&B,shirleytio@hupseng.com,,60340435750,https://www.hsib.com.my/,shirleytio@hupseng.com,,ready
58,Ice Mountain water,F&B,fn.support@fn.com.my,,60 1800-88-1988,https://www.fn.com.my/contact-us/,fn.support@fn.com.my,,ready
59,IIUM Alumni Foundation,Government / Foundations / NGOs,alumni@iium.edu.my,,603-6421-6301,https://division.iium.edu.my/ard/iium-alumni-scholarship-and-financia,alumni@iium.edu.my,,ready
60,Iltizam by Ekuinas,Corporate / Finance,info@ekuinas.com.my,,03-7710 7171,https://iltizam.ekuinas.com.my/,info@ekuinas.com.my,,ready
61,Ingress Corporation Berhad,Corporate / Finance,enquiry@ingresscorp.com.my,,03-7725 5565,https://www.ingresscorp.com.my/contact-us,enquiry@ingresscorp.com.my,,ready
62,Invest Asia Foundation,Corporate / Finance,malaysia.general@asiafoundation.org,,60322820385,https://asiafoundation.org/where-we-work/malaysia/,malaysia.general@asiafoundation.org,,ready
63,JCKL Charitable Foundation,Government / Foundations / NGOs,office@jckl.org.my,,60322742274,https://www.jckl.org.my/en/contact_us,office@jckl.org.my,,ready
64,Julie’s,F&B,crm@julies.com.my,,06 – 556 1401,https://julies.com.my/,crm@julies.com.my,,ready
65,Kakijersi,Sports Equipment / Apparel,mail@kakijersi.com,,012-595 9582,https://kakijersi.com/kj-store/,mail@kakijersi.com,,ready
66,Kopa Group,Corporate / Finance,hello@kopaviation.my,,60378319312,https://kopa001.mystrikingly.com/corporate-purpose,hello@kopaviation.my,,ready
67,Koperasi Tunas SG ARA,Government / Foundations / NGOs,mail@tunasmuda.com.my,,04-643 8515,https://tunasmuda.com.my/,mail@tunasmuda.com.my,,ready
68,Kuckreja,Sports Equipment / Apparel,info@kuckrejas.com,,60362755500,https://www.kuckrejas.com/,info@kuckrejas.com,,ready
69,Kuok Foundation,Government / Foundations / NGOs,general@kuokfoundation.com,,603-27118428,https://kuokfoundation.com/contact-us/,general@kuokfoundation.com,,ready
70,Lee Partner Foundation,Government / Foundations / NGOs,contact@leepartners.my,,03 7728 7001 / 03 7731 1320,https://www.leepartners.my/,contact@leepartners.my,,ready
71,Li-Ning Malaysia,Sports & Fitness,lining.my@sunlightsports.my,,011-18868822,https://www.lining.my/,lining.my@sunlightsports.my,,ready
72,Lion Parkson Foundation,Government / Foundations / NGOs,corpcomm@lion.com.my,,(03) 2142 0155,https://lionind.com.my/lpf/Home/Content,corpcomm@lion.com.my,,ready
73,Malaysia Airlines,Travel / Hospitality,customer@malaysiaairlines.com,,aa1i-r3li0n0e-s8.8co-3m000 / 603 7843 3000,https://www.malaysiaairlines.com/my/en/home.html,customer@malaysiaairlines.com / enrich@malaysi,,ready
74,Malaysia Game Changer Foundation,Government / Foundations / NGOs,admin@mgcf.com.my,,012 979 0464 / 012 813 9168,https://mgcf.com.my/#contact,admin@mgcf.com.my,,ready
75,MALAYSIA HOCKEY CONFEDERATIO,NSports,ceo@hockeymalaysia.org,,03 8998 6195,About MHC - Malaysian Hockey Confederation,ceo@hockeymalaysia.org,,ready
76,Malaysian Community Education Fo,unGdoavtieornnment / Foundations / NGOs,enquiry@mcef.com.my,,60322735179,https://www.mcef.com.my/,enquiry@mcef.com.my,,ready
77,Malindo Air,Travel / Hospitality,od_customercare@batikair.com.my,,603-7841-5388,https://www.batikair.com.my/,od_customercare@batikair.com.my,DUPLICATE_EMAIL,ready
78,Maxis,Corporate / Finance,customercare@maxis.com.my,,1-800-82-1123,https://www.maxis.com.my/en/contact-us/,customercare@maxis.com.my,,ready
79,Maybank Foundation,Corporate / Finance,mf.inquiry@maybank.com,maybankf01@gmail.co,m03-2070 8833,https://www.maybankfoundation.com/index.php/get-involved,mf.inquiry@maybank.com / maybankf01@gmail.co,MULTIPLE_EMAILS,ready
80,Medilabz Signature,Sports Medicine / Health,medilabzpg@medilabz.com.my,,6045059045,https://www.medilabz.com.my/contacts/,medilabzpg@medilabz.com.my,,ready
81,MEDIVEST SDN. BHD,Corporate / Finance,custsvc@medivest.com.my,,60320921000,https://www.medivest.com.my/,custsvc@medivest.com.my,,ready
82,mikasa,Sports & Fitness,volleynation0214@gmail.com,,011-26953397,https://sfsports.my/brand/mikasa,volleynation0214@gmail.com,FREEMAIL,ready
83,Mister Potato,F&B,careline@mamee.com.my,,606-231 6362,https://mamee.com/our-worlds/snacks/mister-potato/,careline@mamee.com.my,,ready
84,Mizuno Malaysia,Sports & Fitness,support_my@my.mizuno.com,,,https://mys.mizuno.com/,support_my@my.mizuno.com,,ready
85,MR.D.I.Y. (TRADING) SDN BHD,Retail / Lifestyle,enquiry@mrdiy2u.com,,03-8961 1338,https://www.mrdiy.com/,enquiry@mrdiy2u.com,DUPLICATE_EMAIL,ready
86,MRCB,Property / Developer,corpcomms@mrcb.com,,60327868080/ 60328597014,https://www.mrcb.com.my/,corpcomms@mrcb.com,,ready
87,MST Golf,Sports Equipment / Apparel,cs@mstgolf.com,,03-5566 8666,https://mstgolf.com/pages/contact-us,cs@mstgolf.com,,ready
88,MUNCHWORLD MARKETING SDN.B,HDF&B,contactus@ctos.com.my,munchys@munchys.co,m603-3344 7888,https://ctoscredit.com.my/contact-us/,contactus@ctos.com.my / munchys@munchys.co,MULTIPLE_EMAILS,ready
89,MyDocLab,Sports Medicine / Health,support@mydoclab.com,partners@mydoclab.com,013-624 5400,https://www.mydoclab.com/,support@mydoclab.com/ partners@mydoclab.com,MULTIPLE_EMAILS,ready
90,Myrahub Foundation,Government / Foundations / NGOs,admin@myrahub.com,,607-2441277,https://myrahubcom.rntechnologies.com.my/index.php/guest/progra,admin@myrahub.com,,ready
91,Nama Foundation,Government / Foundations / NGOs,info@namafoundation.org,,0321816646 / 0321816648,https://namafoundation.org/,info@namafoundation.org,,ready
92,NationGate,Corporate / Finance,corporate@nationgateholdings.com,,04-398 9001 / 04-398 9002,https://nationgate.com.my/contact/,corporate@nationgateholdings.com,,ready
93,Neobun,Sports Medicine / Health,info@gicaresdnbhd.com.my,,604 – 730 8089 6012 – 995 8089,About-us – GICARE SDN BHD,info@gicaresdnbhd.com.my,,ready
94,Nivea Malaysia,Sun Care / Skincare,contactus-my@unilever.com,,603-79578177,https://www.nivea.com.my/en-my,contactus-my@unilever.com.,TRAILING_DOT_FIXED,ready
95,Oval Success Sdn Bhd,Corporate / Finance,ovallsuccess@gmail.com,,03-4141 8834,https://ovalsuccess.com.my/,ovallsuccess@gmail.com,FREEMAIL,ready
96,PADINI HOLDINGS BERHAD,Retail / Lifestyle,ccr@padini.com,,03 5021 0600,https://www.padini.com/contacts,ccr@padini.com,,ready
97,Pecca Group Berhad Foundation,Government / Foundations / NGOs,corporate@peccaleather.com,,603 6275 1800 603 6275 3800,Contact Us \1,corporate@peccaleather.com,,ready
98,PELITA GROUP,F&B,psp@pelita.com.my,,04 - 398 0275/ 04 - 397 5532,https://www.pelita.com.my/contact-us.php,psp@pelita.com.my,,ready
99,Penang Development Corporation (P,DCG)overnment / Foundations / NGOs,enquiry@pdc.gov.my,,04-510 6111,https://www.pdc.gov.my/index.php/en/,enquiry@pdc.gov.my,,ready
100,Penang Future Foundation,Government / Foundations / NGOs,info@penangfuturefoundation.my,,60 4-646 8833,https://penangfuturefoundation.my/contact-us/,info@penangfuturefoundation.my,,ready
101,Penang Hill Corporation,Government / Foundations / NGOs,inquiries@penanghill.gov.my,,04-828 8880 / 604 8288880,https://corporate.penanghill.gov.my/index.php/en/,inquiries@penanghill.gov.my,,ready
102,Penang Port (MMC Group),Corporate / Finance,info@penangport.com.my,,04-375 2400,https://www.penangport.com.my/,info@penangport.com.my,,ready
103,PNB (Permodalan Nasional Berhad),Corporate / Finance,info@pnb.com.my,,03 - 2639 3118,https://www.pnb.com.my/ms,info@pnb.com.my,,ready
104,Powerade Malaysia,F&B,customercareline@etikaholdings.com,,03 7717 6200,https://www.powerade.com/home,customercareline@etikaholdings.com,DUPLICATE_EMAIL,ready
105,PRINTCIOUS,Retail / Lifestyle,ask@printcious.com,,0126479294,https://www.printcious.com/my/sponsorship-program,ask@printcious.com,,ready
106,Proviton STR,Sports Medicine / Health,support@provitonstr.com,,(+603) 8924 2188,https://provitonstr.com/,support@provitonstr.com,,ready
107,Prudence Foundation,Corporate / Finance,prudencefoundation@prudential.com.hk,,,www.prudencefoundation.com,prudencefoundation@prudential.com.hk,,ready
108,Puma Malaysia,Sports Equipment / Apparel,service@sea.puma.com,,1800-819-821,https://my.puma.com/my/en/Contact_Us.html,service@sea.puma.com,,ready
109,QUEENSBAY MALL,Retail / Lifestyle,talk2us@queensbaymall.com.my,,04-6468888 / +04-6198999 / (604) 646 8888,https://www.queensbaymallmalaysia.com/,talk2us@queensbaymall.com.my,,ready
110,RAMLY BURGER,F&B,support@ramly.com,,03 - 6178 1475,https://www.ramly.com.my/,support@ramly.com,,ready
111,REALME,Corporate / Finance,service.my@realme.com,,ai1l.8co0m0-8)1-8018,Contact realme \1,service.my@realme.com (branding.realmemy@gm,,ready
112,Red One Sdn Bhd,Travel / Hospitality,careline@redone.com.my,,011 5500 1909 / 1300 11 0088*,https://www.redonemobile.com.my/ms/,careline@redone.com.my,,ready
113,REDBULL MALAYSIA,F&B,admin@redbull-malaysia.com.my,,,https://www.redbull.com.my/contact,admin@redbull-malaysia.com.my,,ready
114,RHB BANK (L) LTD,Corporate / Finance,customer.service@rhbgroup.com,,03-9206 8118,https://www.rhbgroup.com/index.html,customer.service@rhbgroup.com,,ready
115,Rimbun Foundation,Government / Foundations / NGOs,enquiry@rimbun.com.my,,03 – 2282 8281,https://rimbun.com.my/rimbun-foundation/,enquiry@rimbun.com.my,,ready
116,Royal Bank of Canada,Corporate / Finance,azlina.zainal@rbc.com,,603-8686 3522,https://rbc.sponsor.com/form?pid=0&cid=743561,azlina.zainal@rbc.com,,ready
117,ROYALE CHULAN PENANG,Travel / Hospitality,info@royalechulan-penang.com,,04-259 8888,Royale Chulan Penang,info@royalechulan-penang.com,,ready
118,SAJI,F&B,careline@fgvholdings.com,,6012 385 0505,https://www.fgvholdings.com/,careline@fgvholdings.com,,ready
119,SAMSUNG MALAYSIA ELECTRONIC,S SCDoNrp.BorHaDte / Finance,myenquiries@samsung.com,,1-800-22-8899 / 1-800-88-9999,https://www.samsung.com/my/,myenquiries@samsung.com,,ready
120,SEA MASTER,F&B,rowatermalaysia@me.com,,039076 8826,https://www.rowater.com.my/contact.htm,rowatermalaysia@me.com,FREEMAIL,ready
121,SECRET RECIPE,F&B,franchise@secretrecipe.com.my,,tr0e3c i7p4e9.c0o 2m0.6m3y / marketing@secretrecipe.com.my,https://www.secretrecipe.com.my/contact,franchise@secretrecipe.com.my / feedback@secre,,ready
122,SHELL CORPORATION,Corporate / Finance,generalpublicenquiries-my@shell.com,,04-331 5111,https://www.shell.com.my/,generalpublicenquiries-my@shell.com,,ready
123,Skechers,Sports Equipment / Apparel,inquiry@skechersmal.com,,60327791333,https://www.skechers.com.my/,Inquiry@skechersmal.com,,ready
124,Smart Financing,Corporate / Finance,general@smartfinancingco.com,,012-707 9488,https://smartfinancingco.com/,General@smartfinancingco.com,,ready
125,SP Setia Foundation,Government / Foundations / NGOs,setiacare@spsetia.com,,"60393882638, 60333448800, 60333443232",https://spsetia.com/contact-us/,setiacare@spsetia.com,,ready
126,Speedo Malaysia,Sports & Fitness,customerservice@ikonic.com.my,,603 55694252,https://speedomalaysia.com/,customerservice@ikonic.com.my,,ready
127,SPORTS DIRECT MALAYSIA,Sports Equipment / Apparel,cs@sportsdirect.com,,60 3-5614 9700,sportsdirect.com.my,cs@sportsdirect.com,,ready
128,Sports Paragon Malaysia,Sports & Fitness,info@sportsparagon.com,,016-2205082,https://www.sportsparagon.com/contact-us/,info@sportsparagon.com,,ready
129,Sunplay (Rohto-Mentholatum Malays,iaS)un Care / Skincare,inquiry@mentholatum.com.my,,03 22414889,https://sunplay.com.my/,INQUIRY@MENTHOLATUM.COM.MY,,ready
130,Sunshine Brand Sdn Bhd,F&B,jy@sunshine.com.my,,038062 4663,https://sunshine.com.my/,jy@sunshine.com.my,,ready
131,SURIA PEST CONTROL SDN.BHD,Sun Care / Skincare,admin@suriapestcontrol.com,,019-4473844/ 04-324 3844,Contact,admin@suriapestcontrol.com,,ready
132,Suunto (M) Sports Technology Sdn.,BhSdports & Fitness,hustomerservice@aladve.com,,60 11-3719 9606,https://www.suunto.com/Support/Service-Centers/,hustomerservice@aladve.com,,ready
133,Synergy Sunner,Corporate / Finance,synergyprints@gmail.com,,6045060764,https://sunnersynergy.com.my/,synergyprints@gmail.com,FREEMAIL,ready
134,Tabung Amanah Sultan Kedah,Government / Foundations / NGOs,info@taskedah.org,,60 17 338 5325,https://taskedah.org/hubungi-kami/,info@taskedah.org,,ready
135,The Habitat Foundation,Government / Foundations / NGOs,thf@habitatfoundation.org.my,,04 – 294 3755,https://www.habitatfoundation.org.my/,thf@habitatfoundation.org.my,,ready
136,TM (Telekom Malaysia),Corporate / Finance,sustainability@tm.com.my,,603-2240 9494,www.tm.com.my,sustainability@tm.com.my,,ready
137,TOP GLOVE CORPORATION BERHAD,Corporate / Finance,sales@topglove.com.my,,03 3362 3098,https://www.topglove.com/corporate-information,sales@topglove.com.my,,ready
138,Under Armour Malaysia,Sports Equipment / Apparel,customercare.my@underarmour.com,,1800-806890,https://www.underarmour.com.my/en-my/t/contact-us.html,customercare.my@underarmour.com,,ready
139,US PIZZA,F&B,info@uspizza.my,,1300-22-3838,https://uspizza.my/,info@uspizza.my,,ready
140,Vantris Energy,Corporate / Finance,helpdesk@sapuraenergy.com,,03-6415-9900,https://vantrisenergy.com/,helpdesk@sapuraenergy.com,,ready
141,Vita Health,Sports Medicine / Health,enquiries@vitahealth.com.my,,"60355692393, 1800-18-3288",contact – Vitahealth Connection,enquiries@vitahealth.com.my,,ready
142,VOLVO CAR MALAYSIA SDN.BHD,Corporate / Finance,mycare@volvocars.com,,tel:1800-88-1728,https://www.volvocars.com/my/,mycare@volvocars.com,,ready
143,Wardah Sun Care,Sun Care / Skincare,customercare@paracorpgroup.com,,03-8738 6041,www.wardahbeauty.com,customercare@paracorpgroup.com.,TRAILING_DOT_FIXED,ready
144,Watsons Malaysia,Retail / Lifestyle,hello@watsons.com.my,,1300 880 847,https://www.watsons.com.my/,hello@watsons.com.my,,ready
145,Wildan Milk,F&B,wildanniaga@gmail.com,,132229803,https://wildan.com.my/,wildanniaga@gmail.com,FREEMAIL,ready
146,YAKULT (MALAYSIA) SDN.BHD,F&B,customerservice@yakult.com.my,,03 5569 8960 / wsp 012 361 9958,https://yakult.com.my/contact/,customerservice@yakult.com.my,,ready
147,Yayasan Bank Rakyat,Government / Foundations / NGOs,info@yayasanbankrakyat.com.my,,60326129600,https://www.yayasanbankrakyat.com.my/,info@yayasanbankrakyat.com.my,,ready
148,Yayasan Daya Diri,Government / Foundations / NGOs,info@ydd.org.my,,03 – 2380 6430,https://ydd.org.my/,info@ydd.org.my.,TRAILING_DOT_FIXED,ready
149,Yayasan Ehwal Siswazah,Government / Foundations / NGOs,yayasansiswazah@gmail.com,,016-2764402,https://yayasanyes.com/,yayasansiswazah@gmail.com,FREEMAIL,ready
150,Yayasan Felda,Government / Foundations / NGOs,yayasan@felda.net.my,,03-2693 4224,https://www.yayasanfelda.org/,yayasan@felda.net.my,,ready
151,Yayasan Hasanah,Government / Foundations / NGOs,connect@hasanah.org.my,,60358704333,https://yayasanhasanah.org/contact-us/,connect@hasanah.org.my,,ready
152,Yayasan MyKasih,Government / Foundations / NGOs,info@mykasih.com.my,,(603) 7720 1888,https://www.mykasih.com.my/,info@mykasih.com.my,,ready
153,Yayasan Negeri Sembilan,Government / Foundations / NGOs,admin@yns.gov.my,,06-762 8046,https://www.yns.gov.my/v7/ms/hubungi-kami/perkhidmatan,admin@yns.gov.my,,ready
154,Yayasan Petronas,Government / Foundations / NGOs,yayasanpetronas@petronas.com,,03-2392 9541,https://www.yayasanpetronas.com.my/,yayasanpetronas@petronas.com,,ready
155,Yayasan Prihatin Nasional,Government / Foundations / NGOs,info@yayasanprihatin.com,,03-3358 8612,https://www.yayasanprihatin.com/ms/,info@yayasanprihatin.com,,ready
156,Yayasan Selangor,Government / Foundations / NGOs,info@yselangor.com,,03-7669 1100,https://yayasanselangor.org.my/hubungi-kami/,info@yselangor.com,,ready
157,Yayasan Sime Darby,Government / Foundations / NGOs,ysdinfo@simedarby.com,,60376237111,Contact Us \1,ysdinfo@simedarby.com,,ready
158,Yayasan Tenaga Nasional,Government / Foundations / NGOs,infoytn@tnb.com.my,,03-89247500,https://ytn.tnb.com.my/,infoytn@tnb.com.my,,ready
159,Yayasan Terengganu,Government / Foundations / NGOs,info@yt.gov.my,,09-6211800,www.yt.gov.my,info@yt.gov.my,,ready
160,Yayasan Tun Razak,Government / Foundations / NGOs,harith@yayasantunrazak.org.my,,03-2166 6006,https://yayasantunrazak.org.my/utama/,harith@yayasantunrazak.org.my,,ready
161,Yayasan UEM,Government / Foundations / NGOs,yayasanuem@uemnet.com,,03-6460 1234,https://www.uem.com.my/yayasan-education-scholarship.html,yayasanuem@uemnet.com,,ready
162,Yayasan Wilayah Persekutuan,Government / Foundations / NGOs,info@yayasanwp.org.my,,03 2698 3073 / 03 2698 2073,https://www.yayasanwp.org/contact,info@yayasanwp.org.my,,ready
163,YEO HIAP SENG (MALAYSIA) SDN.B,HDF&B,publicrelations@yeos.com,,60355228000,https://yeos.com.my/contact-us/,publicrelations@yeos.com,,ready
164,Zebra Technologies,Tech / Audio,zebraapacmarketingsea@zebra.com,,04-297 3000 / 1 800 81 6738 / 03 7724 9607,https://www.zebra.com/ap/en.html,zebraapacmarketingsea@zebra.com,,ready
165,Zus coffee,F&B,zcm-support@zuscoffee.com,,,https://zuscoffee.com/,zcm-support@zuscoffee.com,,ready
166,Bioderma Malaysia,Skin care,enquiry@bioderma.com.my,,,https://www.bioderma.com.my/contact-us,enquiry@bioderma.com.my,,ready
167,Safi Malaysia,Skin care,enquiry@wipro-unza.com,,1-800-88-8867,https://safi.com.my/contact-us/,enquiry@wipro-unza.com,,ready
168,Aiken Malaysia,Skin care,customerservice@wipro-unza.com,,1800-888-867,https://aiken.com.my/,customerservice@wipro-unza.com,,ready
